Bus Number,Name,v _nom(kv),Control,Notes,x,y,nerda_sds_nrn,lat_lon_data_source
19930,THSO3-,33,Slack,red_text,-3.5117,58.572,unknown,https://network-maps.ssen.co.uk/
86018,THU-3L5,33,PV,red_text,-3.5097,58.574,unknown,https://network-maps.ssen.co.uk/
86019,THU-6L5,33,PV,red_text,-3.5137,58.574,unknown,https://network-maps.ssen.co.uk/
86101,SCORRA3A,33,PV,yellow_highlight,-3.189750858,58.9334713,673,ssen_nerda_api
86102,STROMN3A,33,PV,yellow_highlight,-3.287194263,58.97441004,678,ssen_nerda_api
86103,STROMN1A,11,PQ,red_highlight,-3.291194263,58.97441004,678,ssen_nerda_api
86104,STROMN3B,33,PV,yellow_highlight,-3.274990976,58.97465836,678,ssen_nerda_api
86105,STROMN1B,11,PQ,red_highlight,-3.289194263,58.97341004,678,ssen_nerda_api
86106,STROMN3C,33,PV,yellow_highlight,-3.116164205,59.00727946,678,ssen_nerda_api
86107,BURGAR3A,33,PV,yellow_highlight,-3.061462632,59.09038701,,unverified_estimate_based_on_building_and_radii
86108,BURGAR3B,33,PQ,yellow_highlight,-3.146725438,59.1164807,701,ssen_nerda_api
86109,BURGAR1A,11,PQ,red_highlight,-3.146725438,59.1174807,701,ssen_nerda_api
86110,ROUSAY3A,33,PV,yellow_highlight,-2.98512878,59.15818701,498,ssen_nerda_api
86111,ROUSAY3B,33,PV,yellow_highlight,-2.98112878,59.15818701,498,ssen_nerda_api
86112,ROUSAY1A,11,PQ,red_highlight,-2.98312878,59.15718701,498,ssen_nerda_api
86113,WESTRY3A,33,PV,yellow_highlight,-2.872358211,59.23835269,674,ssen_nerda_api
86114,WESTRY1A,11,PQ,red_highlight,-2.876358211,59.23835269,674,ssen_nerda_api
86115,EDAY3A,33,PV,yellow_highlight,-2.767759133,59.18524174,675,ssen_nerda_api
86116,EDAY1A,11,PQ,red_highlight,-2.765759133,59.18424174,675,ssen_nerda_api
86117,SANDAY3A,33,PV,yellow_highlight,-2.6794,59.207,unknown,https://network-maps.ssen.co.uk/
86118,SANDAY1A,11,PQ,red_highlight,-2.6834,59.207,unknown,https://network-maps.ssen.co.uk/
86119,STRONS3A,33,PV,yellow_highlight,-2.621110801,59.12948348,684,ssen_nerda_api
86120,STRONS1A,11,PQ,red_highlight,-2.623110801,59.12848348,684,ssen_nerda_api
86121,SHAPIN3A,33,PV,yellow_highlight,-2.904372188,59.03821123,683,ssen_nerda_api
86122,SHAPIN1A,11,PQ,red_highlight,-2.900372188,59.03821123,683,ssen_nerda_api
