Type,Name,bus0,bus0_number,bus1,bus1_number,x[pu],r[pu],s_nom[MVA],Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Thurso_20_MVA,86139 - 86101,SCORRA3B,86139,SCORRA3A,86101,0.0004,0.002,20.0,,86139 - 86101,SCORRA3A,
Thurso_30_MVA,86160 - 86101,SCORRA3C,86160,SCORRA3A,86101,0.0009,0.0037,30.0,,86160 - 86101,SCORRA3A,
SCORRADALE_24_MVA,86123 - 86124,KIRKWA3A,86123,KIRKWA1A,86124,0.0021,0.0576,24.0,,86123 - 86124,KIRKWA1A,Number of tr types = 11
SCORRADALE_24_MVA,86123 - 86125,KIRKWA3A,86123,KIRKWA1B,86125,0.0021,0.0576,24.0,,86123 - 86125,KIRKWA1B,Total number of tr = 22 
SCORRADALE_15_MVA,86102 - 86103,STROMN3A,86102,STROMN1A,86103,0.001340882,0.0225,15.0,,86102 - 86103,STROMN1A,
SCORRADALE_15_MVA,86104 - 86105,STROMN3B,86104,STROMN1B,86105,0.001340882,0.0225,15.0,,86104 - 86105,STROMN1B,
SCORRADALE_12.5_MVA,86138 - 86141,FLTOCC3B,86138,FLTOCC1C,86141,0.001043912,0.015625,12.5,,86138 - 86141,FLTOCC1C,
SCORRADALE_8.0_MVA,86161 - 86162,NEWBIG3A,86161,NEWBIG1A,86162,0.0005,0.0064,8.0,,86161 - 86162,NEWBIG1A,
SCORRADALE_8.0_MVA,86108 - 86109,BURGAR3B,86108,BURGAR1A,86109,0.0005,0.0064,8.0,,86108 - 86109,BURGAR1A,
SCORRADALE_4.0_MVA,86113 - 86114,WESTRY3A,86113,WESTRY1A,86114,0.0004,0.0028,4.0,,86113 - 86114,WESTRY1A,
SCORRADALE_4.0_MVA,86126 - 86127,STMARY3A,86126,STMARY1A,86127,0.000359559,0.0028,4.0,,86126 - 86127,STMARY1A,
SCORRADALE_2.5_MVA,86111 - 86112,ROUSAY3B,86111,ROUSAY1A,86112,0.0002,0.0018,2.5,,86111 - 86112,ROUSAY1A,
SCORRADALE_2.5_MVA,86121 - 86122,SHAPIN3A,86121,SHAPIN1A,86122,0.0002,0.0018,2.5,,86121 - 86122,SHAPIN1A,
SCORRADALE_2.5_MVA,86135 - 86136,FLOTTA3B,86135,FLOTTA1A,86136,0.0002,0.0018,2.5,,86135 - 86136,FLOTTA1A,
SCORRADALE_2.5_MVA,86147 - 86149,THORNFG1,86147,THORNF1A,86149,0.0002,0.0018,2.5,,86147 - 86149,THORNF1A,
SCORRADALE_2.5_MVA,86148 - 86146,THORNFG2,86148,THORNF1B,86146,0.0002,0.0018,2.5,,86148 - 86146,THORNF1B,
SCORRADALE_1.6_MVA,86151 - 86150,SIGURDG1,86151,SIGURD1A,86150,0.0001,0.001,1.6,,86151 - 86150,SIGURD1A,
SCORRADALE_1.0_MVA,86117 - 86118,SANDAY3A,86117,SANDAY1A,86118,0.0001,0.0006,1.0,,86117 - 86118,SANDAY1A,
SCORRADALE_1.0_MVA,86119 - 86120,STRONS3A,86119,STRONS1A,86120,0.0001,0.0006,1.0,,86119 - 86120,STRONS1A,
SCORRADALE_1.0_MVA,86132 - 86133,LYNESS3B,86132,LYNESS1A,86133,0.0001,0.0006,1.0,,86132 - 86133,LYNESS1A,
SCORRADALE_1.0_MVA,86168 - 86116,EDAY3C,86168,EDAY1A,86116,0.0001,0.0006,1.0,,86168 - 86116,EDAY1A,
SCORRADALE_0.2_MVA,86129 - 86130,NTHHOY3B,86129,NTHHOY1A,86130,1.571e-05,0.00012,0.2,,86129 - 86130,NTHHOY1A,
