Name,bus0 name,bus0 number,bus1 name,bus1 number,Resistance[ohm],Reactance[ohm],Susceptance[ohm^-1],s_nom[MVA],length[km],Notes,,,,
19330 - 86018,THSO3-,19330,THU-3L5,86018,0,0.01089,0,500,1,From zafar,,,,
19330 - 86019,THSO3-,19330,THU-6L5,86019,0,0.01089,0,500,1,From zafar,,,,
86018 - 86170,THU-3L5,86018,STHHOY3A,86170,2.902185,6.792093,0.00415978,500,48.6,From zafar,,,,
86019 - 86171,THU-6L5,86019,STHHOY3B,86171,3.928023,6.637455,0.003507805,500,47.8,From zafar,,,,
86170 - 86139,STHHOY3A,86170,SCORRA3B,86139,1.809918,3.026331,0.000642792,500,13.7,From zafar,,,,
86171 - 86160,STHHOY3B,86171,SCORRA3C,86160,1.32858,3.471732,0.000523416,500,14.1,From zafar,,,,
86101 - 86102,SCORRA3A,86101,STROMN3A,86102,2.443232484,3.252006104,0,500,9.135,Checking done,,,,
86101 - 86128,SCORRA3A,86101,NTHHOY3A,86128,0.779525802,0.75828159,0.000653627,500,6.422,Checking done,,,,
86102 - 86104,STROMN3A,86102,STROMN3B,86104,0,0.01089,0,500,1,Checking done,,,,
86103 - 86105,STROMN1A,86103,STROMN1B,86105,0,0.00121,0,500,1,Checking done,,,,
86103 - 86156,STROMN1A,86103,METC1,86156,0.38813291,0.20500183,0,500,4.82,Checking done,,,,
86104 - 86106,STROMN3B,86104,STROMN3C,86106,6.1275852,4.92116922,0,500,11.3,Checking done,,,,
86106 - 86107,STROMN3C,86106,BURGAR3A,86107,3.28973832,4.37872743,0,500,12.3,Checking done,,,,
86107 - 86108,BURGAR3A,86107,BURGAR3B,86108,1.548851594,2.061561833,0,500,5.791,Checking done,,,,
86107 - 86110,BURGAR3A,86107,ROUSAY3A,86110,2.788920288,3.219022907,0.000232948,500,10.445,Checking done,,,,
86107 - 86159,BURGAR3A,86107,HAMMARS3A,86159,0.01279575,0.0121968,7.34619E-06,500,0.1,Checking done,,,,
86108 - 86158,BURGAR3B,86108,NWP3-,86158,0.0378972,0.0258093,2.75482E-05,500,0.3,Checking done,,,,
86109 - 86149,BURGAR1A,86109,THORNF1A,86149,0.2057,0.052514,4.95868E-05,500,0.5,Checking done,,,,
86109 - 86150,BURGAR1A,86109,SIGURD1A,86150,0.14399,0.03509,8.26446E-06,500,0.2,Checking done,,,,
86110 - 86111,ROUSAY3A,86110,ROUSAY3B,86111,0,0.01089,0,500,1,Checking done,,,,
86110 - 86113,ROUSAY3A,86110,WESTRY3A,86113,2.09745756,2.265676697,0.001151515,500,13.298,Checking done,,,,
86113 - 86115,WESTRY3A,86113,EDAY3A,86115,1.14932363,1.214571937,0.000945014,500,9.102,Checking done,,,,
86115 - 86161,EDAY3A,86115,NEWBIG3A,86161,0.48550887,0.30055311,0.000194949,500,2.123,Checking done,,,,
86115 - 86168,EDAY3A,86115,EDAY3C,86168,0.411351019,0.547518926,0,500,1.538,Checking done,,,,
86117 - 86119,SANDAY3A,86117,STRONS3A,86119,2.342901063,2.011447469,0.000609495,500,10.211,Checking done,,,,
86117 - 86143,SANDAY3A,86117,SANDAY3B,86143,0,0.01089,0,500,1,Checking done,,,,
86119 - 86144,STRONS3A,86119,STRONS3B,86144,0,0.01089,0,500,1,Checking done,,,,
86119 - 86152,STRONS3A,86119,STRONS3C,86152,1.535211216,2.043406134,0,500,5.74,Checking done,,,,
86121 - 86123,SHAPIN3A,86121,KIRKWA3A,86123,2.2631598,1.963808184,0.000330101,500,7.983,Checking done,,,,
86123 - 86101,KIRKWA3A,86123,SCORRA3A,86101,2.863218402,5.009269211,0.000167952,500,15.253,Checking done,,,,
86123 - 86106,KIRKWA3A,86123,STROMN3C,86106,2.730641364,3.12615168,0.000204968,500,10.01,Checking done,,,,
86123 - 86145,KIRKWA3A,86123,KIRKWA3B,86145,0.215229524,0.209574892,9.90817E-05,500,1.292,Checking done,,,,
86124 - 86142,KIRKWA1A,86124,KIRKWA1C,86142,0,0.00121,0,500,1,Checking done,,,,
86125 - 86142,KIRKWA1B,86125,KIRKWA1C,86142,0,0.00121,0,500,1,Checking done,,,,
86127 - 86137,STMARY1A,86127,NORTHF1A,86137,1.703922,0.302742,0,500,3,Checking done,,,,
86128 - 86129,NTHHOY3A,86128,NTHHOY3B,86129,0.120138044,0.160687068,0,500,0.447,Checking done,,,,
86128 - 86131,NTHHOY3A,86128,LYNESS3A,86131,2.645993394,3.539069771,0,500,9.845,Checking done,,,,
86131 - 86132,LYNESS3A,86131,LYNESS3B,86132,0,0.01089,0,500,1,Checking done,,,,
