SETTLEMENT_DATE;SETTLEMENT_PERIOD;ND;ORKNEY LOAD (MW)
01/01/2019;1;23808;18.0536064
01/01/2019;2;24402;18.5040366
01/01/2019;3;24147;18.3106701
01/01/2019;4;23197;17.5902851
01/01/2019;5;22316;16.9222228
01/01/2019;6;21987;16.6727421
01/01/2019;7;20958;15.8924514
01/01/2019;8;20640;15.651312
01/01/2019;9;20331;15.4169973
01/01/2019;10;20095;15.2380385
01/01/2019;11;20138;15.2706454
01/01/2019;12;20404;15.4723532
01/01/2019;13;21110;16.007713
01/01/2019;14;21583;16.3663889
01/01/2019;15;22209;16.8410847
01/01/2019;16;22624;17.1557792
01/01/2019;17;23205;17.5963515
01/01/2019;18;23947;18.1590101
01/01/2019;19;25097;19.0310551
01/01/2019;20;26220;19.882626
01/01/2019;21;27227;20.6462341
01/01/2019;22;28065;21.2816895
01/01/2019;23;28683;21.7503189
01/01/2019;24;29211;22.1507013
01/01/2019;25;29823;22.6147809
01/01/2019;26;30179;22.8847357
01/01/2019;27;30470;23.105401
01/01/2019;28;30430;23.075069
01/01/2019;29;30728;23.3010424
01/01/2019;30;31080;23.567964
01/01/2019;31;31713;24.0479679
01/01/2019;32;32516;24.6568828
01/01/2019;33;34255;25.9755665
01/01/2019;34;36367;27.5770961
01/01/2019;35;37034;28.0828822
01/01/2019;36;36928;28.0025024
01/01/2019;37;36514;27.6885662
01/01/2019;38;35771;27.1251493
01/01/2019;39;35123;26.6337709
01/01/2019;40;34161;25.9042863
01/01/2019;41;33313;25.2612479
01/01/2019;42;32198;24.4157434
01/01/2019;43;31193;23.6536519
01/01/2019;44;29798;22.5958234
01/01/2019;45;28450;21.573635
01/01/2019;46;27209;20.6325847
01/01/2019;47;25782;19.5504906
01/01/2019;48;24781;18.7914323
02/01/2019;1;24748;18.7664084
02/01/2019;2;25273;19.1645159
02/01/2019;3;25102;19.0348466
02/01/2019;4;24547;18.6139901
02/01/2019;5;24156;18.3174948
02/01/2019;6;24026;18.2189158
02/01/2019;7;23646;17.9307618
02/01/2019;8;23337;17.6964471
02/01/2019;9;23093;17.5114219
02/01/2019;10;23236;17.6198588
02/01/2019;11;23819;18.0619477
02/01/2019;12;25059;19.0022397
02/01/2019;13;27763;21.0526829
02/01/2019;14;30050;22.786915
02/01/2019;15;32562;24.6917646
02/01/2019;16;34231;25.9573673
02/01/2019;17;36091;27.3678053
02/01/2019;18;37534;28.4620322
02/01/2019;19;38698;29.3446934
02/01/2019;20;39097;29.6472551
02/01/2019;21;39255;29.7670665
02/01/2019;22;39253;29.7655499
02/01/2019;23;39290;29.793607
02/01/2019;24;39152;29.6889616
02/01/2019;25;39533;29.9778739
02/01/2019;26;39751;30.1431833
02/01/2019;27;39999;30.3312417
02/01/2019;28;40217;30.4965511
02/01/2019;29;40602;30.7884966
02/01/2019;30;41076;31.1479308
02/01/2019;31;41312;31.3268896
02/01/2019;32;42262;32.0472746
02/01/2019;33;43456;32.9526848
02/01/2019;34;44454;33.7094682
02/01/2019;35;45011;34.1318413
02/01/2019;36;44913;34.0575279
02/01/2019;37;44720;33.911176
02/01/2019;38;44353;33.6328799
02/01/2019;39;43728;33.1589424
02/01/2019;40;42495;32.2239585
02/01/2019;41;41276;31.2995908
02/01/2019;42;39639;30.0582537
02/01/2019;43;38057;28.8586231
02/01/2019;44;36142;27.4064786
02/01/2019;45;34255;25.9755665
02/01/2019;46;32376;24.5507208
02/01/2019;47;30266;22.9507078
02/01/2019;48;29075;22.0475725
03/01/2019;1;28715;21.7745845
03/01/2019;2;28955;21.9565765
03/01/2019;3;28616;21.6995128
03/01/2019;4;28002;21.2339166
03/01/2019;5;27534;20.8790322
03/01/2019;6;27325;20.7205475
03/01/2019;7;26959;20.4430097
03/01/2019;8;26487;20.0850921
03/01/2019;9;26287;19.9334321
03/01/2019;10;26364;19.9918212
03/01/2019;11;27024;20.4922992
03/01/2019;12;28150;21.346145
03/01/2019;13;30764;23.3283412
03/01/2019;14;33172;25.1543276
03/01/2019;15;35880;27.207804
03/01/2019;16;37696;28.5848768
03/01/2019;17;39369;29.8535127
03/01/2019;18;40668;30.8385444
03/01/2019;19;41691;31.6142853
03/01/2019;20;41945;31.8068935
03/01/2019;21;42070;31.901681
03/01/2019;22;42394;32.1473702
03/01/2019;23;42291;32.0692653
03/01/2019;24;42279;32.0601657
03/01/2019;25;42374;32.1322042
03/01/2019;26;42216;32.0123928
03/01/2019;27;42274;32.0563742
03/01/2019;28;42912;32.5401696
03/01/2019;29;43287;32.8245321
03/01/2019;30;43413;32.9200779
03/01/2019;31;43629;33.0838707
03/01/2019;32;44128;33.4622624
