Day,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),SOC_cost,Departure Full Time,Arrival Full Time
2,7:20,0.32,17:20,0.2871,20.03,0.0329,01/07/2019 07:00,01/07/2019 17:00
2,17:18,0.2871,17:54,0.2822,2.99,0.0049,01/07/2019 17:00,01/07/2019 17:00
3,7:22,0.32,17:16,0.2895,18.62,0.0305,01/07/2019 07:00,01/07/2019 17:00
4,7:21,0.32,17:28,0.2871,20.05,0.0329,01/07/2019 07:00,01/07/2019 17:00
5,7:28,0.32,17:21,0.286,20.7,0.034,01/07/2019 07:00,01/07/2019 17:00
7,10:38,0.32,12:20,0.306,8.51,0.014,01/07/2019 10:00,01/07/2019 12:00
8,7:14,0.32,17:11,0.2875,19.82,0.0325,01/07/2019 07:00,01/07/2019 17:00
9,7:28,0.32,17:13,0.2849,21.4,0.0351,01/07/2019 07:00,01/07/2019 17:00
10,7:20,0.32,17:20,0.2903,18.09,0.0297,01/07/2019 07:00,01/07/2019 17:00
11,7:29,0.32,17:10,0.2877,19.69,0.0323,01/07/2019 07:00,01/07/2019 17:00
12,7:13,0.32,17:03,0.2895,18.58,0.0305,01/07/2019 07:00,01/07/2019 17:00
14,10:46,0.32,12:41,0.3042,9.62,0.0158,01/07/2019 10:00,01/07/2019 12:00
14,16:03,0.3042,17:24,0.2932,6.73,0.011,01/07/2019 16:00,01/07/2019 17:00
15,7:35,0.32,17:18,0.2856,20.98,0.0344,01/07/2019 07:00,01/07/2019 17:00
16,7:16,0.32,17:27,0.2876,19.74,0.0324,01/07/2019 07:00,01/07/2019 17:00
17,7:37,0.32,17:11,0.2889,18.98,0.0311,01/07/2019 07:00,01/07/2019 17:00
18,7:14,0.32,17:30,0.2841,21.88,0.0359,01/07/2019 07:00,01/07/2019 17:00
18,15:46,0.2841,16:40,0.2768,4.46,0.0073,01/07/2019 15:00,01/07/2019 16:00
19,7:17,0.32,17:23,0.29,18.32,0.03,01/07/2019 07:00,01/07/2019 17:00
20,9:08,0.32,10:12,0.3112,5.37,0.0088,01/07/2019 09:00,01/07/2019 10:00
20,15:59,0.3112,16:47,0.3047,3.98,0.0065,01/07/2019 15:00,01/07/2019 16:00
22,7:23,0.32,17:27,0.2891,18.86,0.0309,01/07/2019 07:00,01/07/2019 17:00
23,7:40,0.32,17:13,0.288,19.54,0.032,01/07/2019 07:00,01/07/2019 17:00
24,7:33,0.32,17:05,0.2857,20.9,0.0343,01/07/2019 07:00,01/07/2019 17:00
25,7:28,0.32,17:22,0.2846,21.58,0.0354,01/07/2019 07:00,01/07/2019 17:00
26,7:38,0.32,17:22,0.2903,18.11,0.0297,01/07/2019 07:00,01/07/2019 17:00
